RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31
102001,0,United States,country,,1204.9640639303977,1211.5233374829143,1220.539082871697,1229.631502737651,1238.971441938516,1246.914338683508,1252.9015590436652,1256.5051327833064,1258.577402008628,1259.0299003452685,1259.5202734548757,1259.950245902429,1263.1386238840585,1268.1301929104686,1274.4919343857584,1282.464921891967,1290.8201742613671,1299.11040494392,1303.9659589896173,1306.1708155705076,1306.1000505349746,1304.6217086045979,1303.461091230795,1302.6464040986227,1307.3384200611636,1315.1258047274412,1326.939239005277,1336.8302476233625,1346.2633479468143,1353.4434627537473,1358.3974668074825,1360.0703725104865,1360.3500557101283,1358.7836189461223,1358.6502169889095,1359.605692941845,1364.4906788148498,1371.9972450843131,1381.671079558903,1391.4506633349245,1399.8240950493475,1407.4876458587416,1412.9651302836767,1416.2950360395644,1415.7336470586165,1414.9583986690152,1415.5099156005917,1417.6168805918605,1421.931484872735,1428.14245403285,1438.5550470344751,1448.8281645295135,1458.8829872145895,1467.0104674415472,1472.978880114131,1476.0958973703473,1475.9092141412307,1474.5326274097977,1473.4736329743341,1474.7057862738366,1479.8451551446901,1488.1249750456552,1496.5137649417286,1497.3196668426465,1496.4031257502186,1496.811543174745,1502.0665258201097,1503.4732504479869,1500.9353398120872,1498.006447989233,1496.6793212420307,1498.8738713071616,1506.2087826294444,1518.0411014665262,1533.590544278693,1553.2845867447606,1579.2596182108398,1609.685647911651,1641.7817726278688,1671.5363709044982,1695.6531993791161,1710.7265112083032,1720.6103072432531,1730.2644524389073,1741.2063248874924,1756.7652453373917,1772.830615330645,1793.8104153092008,1815.1318424914352,1837.582801808954,1856.3223654542344,1867.0357965061162,1869.629929750509,1865.0600397570893,1858.9523115954757,1855.8463788703802,1857.8345343189972,1864.5877816570478,1877.2481838686556,1888.5769742642385,1901.4372745327064,1909.6920258393416,1919.3035213007713,1924.637333048944,1926.0211830566823,1922.7520768015947,1917.396589846802,1914.0770553698594,1917.1155557880097,1925.4455881139047,1937.352970014944,1949.7227501828993,1962.7359941969912,1974.4841223509245,1984.0383027527532,1988.7132817226113,1989.9926420500249,1986.2292189972186,1983.0952974959248,1979.579221061927,1984.0615473075406,1992.382331595631,2005.1089414315475
394913,1,"New York, NY",msa,NY,2274.903987823711,2289.7806847168536,2308.292159205272,2328.7008194628306,2343.9914523429593,2359.768011472928,2369.9352667514154,2379.91486843039,2383.9903919590292,2382.0923099828005,2372.9428204595256,2363.9392708578775,2360.729073680485,2365.147798415468,2373.2057327976986,2386.0163286883458,2400.730050063447,2415.541254483148,2428.114460313328,2431.8010328711157,2432.528705722955,2424.8121214622715,2419.861016700322,2407.9790407930154,2404.6996827783196,2405.67310499582,2417.7005680025386,2432.3117693174263,2450.2605231099,2465.3117095789166,2475.96508349524,2478.4087514912353,2476.267377758725,2462.4552958007544,2446.934287827449,2433.6077415059017,2432.045579178646,2439.1459589366323,2451.8578183785476,2471.8187480278893,2490.102988836962,2507.6534992505794,2519.9699814872943,2529.276743686599,2529.9045749561024,2520.4261860204883,2509.417250751112,2499.1473873590303,2499.303514665487,2508.0194214611115,2523.792397495014,2541.0409531232376,2561.6722620017063,2583.460039721795,2599.1587673499207,2606.2508829646217,2604.4858297895844,2599.7556987128232,2587.7768311866494,2580.2073267548103,2579.512886733866,2592.47235573552,2601.6074682068383,2595.5905136383917,2579.0176542635604,2556.372621407269,2531.336654634137,,,2389.163050964782,2357.355979193582,2344.287952657186,2342.413574492198,2356.6717249200674,2378.469671333928,2406.946286348817,2451.3857068489965,2506.2082379650483,2569.352002855652,2629.0738501010933,2677.400271885619,2710.5805569325657,2732.6215244001405,2753.4253109492843,2777.4246003905614,2809.489687923251,2847.7666934575127,2889.354368887006,2941.042503556294,2994.762762485522,3043.8599071231533,3071.7648896190713,3075.4189800957147,3059.018286996463,3032.378729963345,3011.7446202465867,3009.223597363212,3022.121274059878,3049.252206066431,3081.5814103192824,3117.9668088597955,3149.4960986382184,3172.850092773184,3182.924724281844,3181.9325061379072,3166.378896293441,3143.4719793465592,3127.122600382412,3131.208796858591,3149.5908104274267,3179.720274011767,3208.366902235069,3241.593310283844,3270.6561616682375,3288.4065979047045,3293.793228277928,3283.1678856099015,3268.389133412428,3256.8160756272296,3250.841737531179,3261.024948471824,3281.796806875951,3313.3318826613995
753899,2,"Los Angeles, CA",msa,CA,1807.1412798028236,1819.683413426176,1836.3193027633486,1850.4609381250436,1864.9758408883067,1876.3099406568526,1889.924318928375,1900.6070411103194,1910.5956892927481,1915.5624805039972,1920.5033140876296,1926.4867455155531,1935.8342555069812,1947.611871003389,1959.7768606828322,1970.1528699737473,1983.1083297191683,1995.7421405793348,2009.0834041793767,2015.6631710136298,2021.0309045713814,2021.8492653016092,2024.2118592483234,2027.3470961467633,2041.4537346814861,2058.1996326180833,2079.5547448892994,2093.631909606451,2106.7602479709844,2115.611279959117,2125.471942955464,2130.8971146891186,2136.105962345998,2137.597920985973,2142.7394694230093,2147.5438329263493,2158.579427093822,2170.3866286599587,2181.502664897592,2190.665640824152,2198.359579298543,2209.859793959185,2220.2066894098552,2229.6436872125423,2234.1438323087377,2238.1588355434233,2243.695405457106,2248.9443623214015,2254.4268728496063,2258.55996454455,2270.543936584257,2281.0030088958592,2293.6988650228714,2302.8407395772115,2311.5768461420844,2317.9970082362065,2321.709417327074,2324.35188418715,2327.394546280855,2331.4145860041667,2338.10439964516,2342.47965840405,2341.742937901025,2329.5853016473793,2318.079479321277,2311.9670004633012,2313.794501972105,2314.251901897282,2313.6738979329557,2314.54740160135,2315.970170441363,2316.5177197560647,2325.024971655249,2335.028679460219,2349.384460539137,2360.8470942512645,2381.259413742697,2416.0501473453714,2463.4880155611622,2517.6234568542905,2559.2197998767842,2584.939389097609,2599.7250871383058,2617.588984889534,2637.8651999029707,2663.793925818699,2688.748946718625,2718.5617430319107,2744.386341016973,2768.7015992322504,2789.559860327211,2804.7768481877033,2810.8760633437428,2805.964665127978,2797.8783753127595,2790.340016789981,2789.4969430426945,2795.4271927749974,2809.760072703657,2821.386533496247,2831.4165945126956,2839.5459708981534,2852.5017888417615,2863.978303411687,2867.0898170182,2864.059458405897,2851.9833304764056,2844.367962381858,2848.504440004892,2860.6517530911724,2877.0023674130052,2887.7926450888003,2903.03524866394,2917.8278286626155,2932.1300953194877,2938.162397714973,2942.3862967200826,2939.386911705898,2935.736684413074,2928.2057110631686,2950.268102801527,2972.3338715421096,2997.269136385535
394463,3,"Chicago, IL",msa,IL,1429.0497345248618,1435.9366530915252,1445.8586325120823,1455.2337965976199,1465.7248490902307,1475.51288383726,1480.2047823913704,1482.963275555629,1477.87825230328,1470.6847931131301,1464.2035673929558,1464.488154206046,1472.462217673542,1481.8264351203168,1493.4333094064357,1501.0551432006425,1509.2425611679573,1517.2729621909516,1523.843903874877,1527.5412129669055,1520.4543216712723,1510.4057245419979,1498.3358672725726,1492.861599603909,1499.0976240036653,1513.3253273263924,1532.1717724348334,1546.0993763919168,1558.088572530408,1563.9310511974259,1565.6795003447048,1560.7321860417205,1554.8059888207586,1543.5390095661155,1536.8012426162372,1533.9313690395668,1542.5188540152205,1554.1846984930025,1568.0206492536097,1579.439381106263,1589.8165773742955,1598.5100011379868,1603.0157832718273,1600.8854703260401,1590.812635502996,1579.3149709128395,1571.957979842887,1572.6943510051913,1582.2399343427146,1593.064496125755,1609.0040740628642,1621.8289235480254,1634.0745641616984,1641.087208981227,1644.1590971195717,1643.620455585659,1638.386521005135,1631.7548561530543,1624.9887662816177,1620.6539376379571,1629.4836039443323,1641.5782648508423,1656.4870294880554,1657.5934440730175,1656.2749766474503,1653.254426845375,1652.332579534128,1646.5251383652462,1632.026437358126,1610.4575064986664,1592.4021075025964,1584.5626102459437,1586.756834948872,1598.441975846233,1615.9854222850777,1642.6270981781029,1669.962483865908,1695.738546825675,1715.436325098547,1729.0286251171751,1736.972922981624,1736.6684604576324,1736.558671887619,1741.8360392221646,1755.23402744358,1771.2713466933865,1791.4575344083023,1815.826051781076,1842.5906704012596,1863.743406990141,1880.5218242286112,1888.4695387779454,1889.381075422378,1884.7186291918174,1879.281172948296,1879.749709921355,1887.3090284355699,1902.1634854737638,1920.919277908817,1940.1677144002583,1961.7323914755518,1980.9593474371975,1993.8103727479022,2000.2232411004454,1996.4119846690571,1987.7421323309015,1979.2283644568295,1980.5248079828345,1989.856255731303,2005.3294071634828,2021.3379978610599,2042.9608085520085,2062.4563403956495,2080.783275571344,2090.849551413792,2094.402214150214,2092.9279972451586,2091.1947098259484,2092.5160805433434,2096.305554334745,2103.6050185753716,2119.863070560209,2138.6267288479658
394514,4,"Dallas, TX",msa,TX,1109.39948472917,1114.3671967129899,1122.200306833834,1134.267944864353,1144.2315833772636,1152.9191793917043,1159.4610909557198,1163.1318401462138,1164.7253502219708,1164.811376849661,1165.5997319352916,1167.1938015373034,1168.744298932072,1174.5903729118545,1182.4907215906314,1193.5853555646318,1202.1735451705806,1210.1234161803623,1215.3906605173108,1219.0039560523694,1219.3937291877057,1219.6850097714653,1219.5995570232787,1220.279451798872,1225.2262291645065,1231.3081852473197,1244.0981115923769,1253.7513793848925,1266.3786911790876,1272.8501380833147,1277.7741417456007,1279.1933413014287,1278.0515700788249,1275.9005430220752,1277.3669765756936,1278.1675995628937,1282.9913545467628,1288.8885142634308,1296.2657594541104,1303.9926963262199,1309.145405839048,1317.4931498900012,1321.391245407404,1323.4296580161522,1320.6364188265522,1322.6546157061784,1323.6862522599731,1326.3143110216045,1328.8171834365608,1333.1664647421521,1344.7113337149356,1354.5032149840736,1364.0069686397483,1370.8448223034577,1373.9951610292708,1376.123616939182,1375.029473520044,1374.1367182478862,1372.076497228974,1368.5346944167045,1371.1610696731652,1377.1740512728045,1385.7835918010637,1386.3291583727992,1385.845965977286,1386.9645227056305,1391.4618810828872,1395.4824912505974,1397.6920571133692,1400.4685195492705,1401.9766695499645,1405.3728933406337,1411.6501047196402,1422.8966984936817,1434.7546114608215,1453.8069500395184,1478.5802737018867,1512.5582899606036,1547.9225589608734,1580.0580825011916,1604.041343009549,1618.077304704232,1630.3690082253627,1640.261056886373,1652.1384843779992,1663.8324841619722,1677.3986903006264,1697.1596502833963,1720.4990510276177,1750.11722198032,1771.4901917654424,1779.42734403931,1774.2978432590821,1760.3565810116415,1749.7033662079498,1740.6971266839575,1740.3924452717636,1743.0870315204452,1755.0460659426114,1759.9192746102356,1768.644192133196,1771.9875188433791,1780.3015344699056,1781.5202615598794,1776.8858519459936,1768.9047627608277,1760.9908086740775,1752.5930177596138,1748.80803600279,1746.69463069708,1751.7012321465713,1757.3868432999247,1766.560694188903,1774.2306170541585,1781.419708963393,1784.7366954941342,1781.0886720173532,1773.851016938817,1765.2112694485513,1758.1191084941775,1756.3147118056838,1762.1019679834899,1773.3139242567297
394692,5,"Houston, TX",msa,TX,1214.841906155052,1218.569273453578,1225.3998501470676,1235.2547700512835,1244.8032428683023,1252.9486602453078,1254.835483610163,1256.1042484272473,1253.6924554714933,1250.1248920864498,1246.3706497366543,1243.422155253598,1244.3298740211246,1246.6768561883089,1252.7585126194494,1256.9281279569109,1259.8561902134345,1260.8347469041357,1260.6466755840117,1257.9930389305962,1252.7410427946515,1248.9971102917707,1243.8558003787023,1241.4282615869306,1242.1248340747331,1249.8156928495105,1258.1912138896646,1263.1403603329213,1270.4529963211921,1272.279883494603,1273.1794102386402,1268.4212062088573,1275.4354950550114,1283.0796570486718,1294.0055027620126,1299.3045222862088,1302.6503023619407,1307.9478027801158,1309.6415491899174,1316.524413958835,1319.4250323526046,1324.8750553914326,1325.0427386376357,1323.6316270757607,1319.6535306674443,1319.947062682756,1322.1435847863056,1322.0501876903322,1322.6289887537214,1321.381860815901,1328.5104468635407,1333.6561869122563,1342.700819678434,1348.3496228086055,1352.1791111234402,1351.538864415575,1348.5216579573082,1347.5671043793714,1347.4656948761778,1350.6213615363245,1353.3752018844482,1359.7156820189352,1365.17000980264,1362.4838293860405,1355.6933539685683,1350.5459434573436,1354.6157078204042,1359.8618729259088,1360.7500648278283,1363.010859768775,1364.6222325189335,1365.4534369933967,1367.5509399389573,1368.6259609135795,1376.8453214699061,1389.4994675221415,1410.992461243522,1438.3953193305938,1463.922445106859,1487.508866967454,1500.7950373946692,1508.3006526183417,1512.2428857739792,1516.6479398283857,1523.1653492761925,1533.2785189887727,1543.4937851532702,1556.7547960133684,1568.626988553752,1584.4658881320354,1596.4516821487134,1602.904161617201,1600.5607987767928,1594.8054621701747,1587.8442160289537,1585.8628320326318,1588.9268070069334,1596.8297136558588,1608.63189858642,1615.381713555471,1625.5336575470285,1633.1208853549888,1639.9450093483226,1640.8785400425897,1636.1929662818488,1630.3715752023772,1624.4739178446116,1622.1396623327087,1624.7414145199425,1630.1125459722912,1636.1473071159098,1645.2598830848312,1656.1683416221813,1666.7611970276125,1672.6697159105522,1675.3273119214682,1675.9848120444308,1674.3283187348238,1669.7893643720206,1665.0128584643853,1664.124468732836,1668.5267828318238,1678.7452564995
395209,6,"Washington, DC",msa,VA,1698.6914290965121,1705.5667397687985,1716.9397919290711,1725.336250991805,1734.7454287521084,1741.9641780407824,1746.505379713743,1743.9315108963126,1743.2063404890603,1737.8451097168495,1737.4244346372705,1732.6616675574624,1736.5209756138627,1739.5959893506517,1748.4237581759253,1755.6335090496884,1764.8820889680337,1771.0978299456106,1775.3751440181024,1776.3364382111733,1772.8297575946117,1767.2182948203745,1761.8640306582763,1758.9383762901189,1764.329055716615,1775.4503182018714,1788.9829671459854,1799.6702958089238,1806.3679523882354,1813.73535407933,1816.769279058647,1816.5080280416764,1813.9942787810317,1809.4927628244195,1803.6236146857711,1799.9139931487207,1802.412934668045,1809.22252095429,1821.6435448369543,1833.5355896548824,1844.8555297429461,1853.4451330355987,1858.827380197392,1863.3080121756016,1858.2520592389856,1855.9772580859126,1856.3701916769605,1861.5206395158016,1865.6958270797466,1871.4493431987833,1880.8612847764296,1892.2023661967548,1903.4178470359852,1912.637598873896,1917.9349734955954,1919.1771212472297,1918.6403984231165,1912.6634369752276,1906.5909458767478,1906.939281355935,1915.6509124567187,1924.7195502677964,1934.489218823432,1933.5485517919212,1931.4650254576482,1925.0529228583357,1923.3939773018672,1918.937242116258,1905.282734177483,1888.094344244559,1868.1668781572164,1857.4779709018876,1859.2942149640398,1867.42020889351,1877.8649006192163,1892.479129867247,1920.3698125557116,1958.2279458292633,1996.2722837928732,2027.179573622798,2046.0004824154755,2055.6313067766914,2056.424251916177,2056.591074286022,2058.0238566446515,2069.0935319771843,2087.445877899856,2111.43664361665,2137.0342689266613,2162.6978089361546,2187.1347844891734,2198.8776392170635,2199.11136091055,2182.8064213592756,2166.2567882709845,2153.024858745522,2154.7702447463084,2166.4152149687243,2189.8102124370344,2206.155556120525,2224.6577103866975,2236.1963522713995,2252.9841627269716,2263.243922425337,2266.4050011691443,2262.409044723405,2254.4454831818643,2246.3768797142675,2249.8869892582743,2264.5962909467485,2287.4108172766246,2308.0712796459484,2327.1663658107286,2347.7794104890095,2364.4003778654405,2372.864399980354,2372.111409182044,2361.6072625195493,2354.2291542311887,2346.4947671089094,2357.8467251101088,2372.913772071291,2395.357773941178
394974,7,"Philadelphia, PA",msa,PA,1237.9557493847315,1244.5269027773045,1257.7298882833545,1264.6871966100828,1270.6591864894824,1273.6656911811328,1275.5929688239103,1276.2678676408198,1275.935590569063,1275.1738016066054,1271.1661501254473,1267.3415007883045,1268.657580098336,1277.0365059808335,1287.0321639143149,1296.085459824112,1302.6589175254758,1309.680173849689,1310.6478366450467,1310.3663704546057,1307.195295906897,1305.7178795174,1307.968259943336,1308.0264491395421,1312.708984373452,1318.5552066896967,1330.7411856000838,1339.2274302831754,1345.147792287735,1345.9564431870565,1346.5547314869814,1346.3585420168658,1345.755264833148,1344.9932314618165,1344.3904684928414,1347.620171101292,1351.4190584184214,1359.2399301695543,1370.0978591569565,1380.0120035382838,1388.9767385050595,1392.733439001941,1393.8131031038015,1392.6367625947732,1390.6887505476584,1392.105916772141,1395.9620943094003,1396.705148943367,1401.56743275169,1408.1844029829517,1422.563981556754,1433.5654993490095,1440.7852127077135,1447.9594628208717,1451.4508851034786,1451.0619334068067,1447.2713242963805,1446.3685045120567,1446.8306437157896,1450.1072806265634,1453.603965725401,1465.0228429659833,1475.548825076598,1480.2111505014013,1480.3397921693297,1480.9208475562605,1486.692398326871,1486.9738584984725,1486.431744928791,1485.2198624659209,1486.7852551081958,1490.2692750112158,1495.179343357453,1502.6824245735515,1511.4278646689095,1527.3907978760233,1549.4205326485728,1571.1459990553406,1590.6685424405744,1607.2595073671819,1615.993830304219,1625.8444802398262,1634.4459453369834,1651.7853784074262,1662.1577361901914,1674.5765852897832,1685.3264528716131,1699.9268597348187,1714.0203409178503,1729.01297614162,1742.027069669504,1748.4514709646621,1749.2511132526195,1744.469339217284,1741.95629218784,1738.82653676404,1742.9796460605762,1746.189990072946,1758.0936950426646,1767.2311951368,1778.790808406048,1783.6658939856309,1792.0725205214603,1798.4081740587433,1806.3587068267543,1808.5892367059587,1808.4478664935987,1806.4320877524724,1808.706143956027,1816.7255899117706,1826.4159653028294,1835.3707771171664,1844.0004318007382,1853.6690120925884,1863.0780772847188,1870.7203355387958,1875.405847555726,1879.4761732853194,1881.8952257673352,1886.413856479583,1890.751555404779,1895.5896275122834,1897.6504688217467
394856,8,"Miami, FL",msa,FL,1481.7856472996007,1488.0181906649302,1493.05429542693,1500.0548302176303,1508.7733449848677,1517.7668003989093,1526.8116899939782,1534.1059528128428,1545.3253372840782,1552.8615548313473,1562.4520078079158,1565.2753571428088,1569.186037256022,1570.542992922204,1573.7142810934195,1574.996277574161,1574.6217308467099,1574.185595746703,1576.2742194038992,1579.1557196074325,1584.6660345175085,1587.754369152181,1591.9705483331722,1591.3938241162969,1595.839701075942,1599.2185711486902,1607.2431372816231,1610.1666879866266,1612.552460192383,1615.2851685883074,1620.5033408871757,1627.7852200633977,1634.6808516375777,1640.1901271246686,1641.8425396712814,1642.5602145868286,1644.5844342575524,1647.4555622424318,1651.5058139841044,1655.3833868079523,1660.0105804269474,1665.1269469470276,1671.1785235665368,1677.6607771179335,1682.7779922651378,1689.2356324783004,1696.040091178075,1701.6017987729851,1701.3282210109942,1699.7526875666642,1700.4932687328162,1703.9496968282829,1709.1112486593092,1713.443413166713,1718.7788339811573,1723.5243685009605,1730.1067384074554,1738.702055395016,1748.3859164542255,1755.134073338841,1757.8076673237672,1761.4506780266486,1761.445334830014,1755.361516975478,1745.8036923191307,1744.8636664272026,1750.3414240993834,1755.8661404760328,1761.6594723094088,1774.8767228304246,1793.621158160019,1809.3771512422556,1824.742040758342,1847.4606982600062,1875.7678189262049,1909.9243296517625,1949.3830581556688,,,2131.4072842771916,2190.3249700052575,2234.122429486532,2279.0942127385642,2326.359811433844,2368.677690007519,2402.8232888829425,2439.4162367011245,2480.940558593165,2520.1458580049416,2547.5230232752237,2567.7950374735997,2576.6758302455746,2584.395105990864,2586.771434240055,2593.9512834234715,2597.888312121137,2599.3108736253375,2601.179487923558,2606.8040543844836,2613.459476750394,2621.385998579787,2627.6987457577297,2633.4323780275013,2638.3977083744626,2642.7520607342276,2650.8278340901857,2654.972490955228,2650.4671365999934,2648.3510229865724,2653.5384505472916,2665.5606544950065,2675.901317077844,2679.699911587088,2685.1711359829123,2692.650557841676,2700.7637112554758,2708.32217213923,2708.783103815947,2709.9456397918034,2707.8954222362895,2710.5579628721566,2712.7109688184523,2717.6720111902687
394347,9,"Atlanta, GA",msa,GA,1032.0090840736907,1037.5145468076664,1040.5330673339677,1050.5453312150944,1058.3582850165456,1069.970969679796,1076.2847303099602,1079.8687458147258,1080.5011874272302,1080.9813273469128,1081.8031816394082,1085.3751923637556,1089.6599609693026,1096.9529416986697,1104.4536552038971,1111.8282375638228,1120.4316928515227,1129.323572901476,1138.016676520301,1142.2628832611294,1142.745049926528,1143.1521976319932,1143.5678250526958,1145.4587038003665,1149.7011531720768,1158.1836561091332,1170.2963966420539,1182.3888818367282,1194.5001121792427,1204.7069797467973,1213.6090562206302,1217.745819805753,1220.1091010006548,1217.1913551797306,1218.873478196707,1220.1025274939975,1227.4013751136251,1235.3616010204425,1247.0822186256228,1259.0244482950886,1270.1622273800688,1278.9182404079004,1284.7112044191917,1287.6920658496442,1288.094492817638,1294.1952892852694,1299.196097354833,1304.5263060790742,1309.5554114336667,1317.2679111890393,1329.7795556039666,1340.7469040541266,1351.1062229819065,1359.7539570940905,1364.7501389519648,1369.1569772982482,1371.3390183943054,1370.5276445153127,1367.80225356613,1367.336467699739,1372.3091579964678,1380.9292998546048,1389.6615326646279,1392.8186417425025,1396.505976652465,1403.789923231349,1419.1765345938786,1432.8277266156415,1442.425045937294,1449.049086664108,1454.6075753728999,1461.417887416342,1474.0226422460744,1491.5507585091907,1510.7876051835774,1533.6150002800048,1562.1360081651067,1601.414121361701,1644.0039059874366,1687.4078198380942,1718.9398769602437,1738.271514285893,1745.131645558363,1747.3773165272248,1750.394976442394,1756.8042705833245,1769.6940680105315,1784.0110642079776,1804.0062495378381,1825.265471360435,1849.2092521489956,1861.4436959576183,1863.726010336655,1853.4791441913949,1842.8365021294908,1837.6271610668255,1835.7363318209143,1840.795276831666,1852.0957877393116,1860.315179772957,1867.4368557909052,1867.7339432383012,1873.0046090787275,1873.0707586425403,1870.5164204347013,1859.9690713023133,1846.6690382198085,1837.0052366164375,1839.6383590152757,1850.739460339435,1858.3790431143855,1864.882476879661,1872.1853914092337,1881.3729833267635,1888.455208268471,1888.0212994237836,1891.5653770378988,1886.9981393670123,1882.1805929952272,1874.0903467332053,1877.4780895379724,1890.624542396403,1902.658458337832
